Sigla	Codigo	Município	2010	2012	2014	2016	2018
AL	2707909	Santa Luzia do Norte	4341	4759	4386	5143	4641
AL	2708006	Santana do Ipanema	23150	23939	22811	25410	23885
AL	2708105	Santana do Mundaú	5701	6248	5499	7041	6162
AL	2708204	São Brás	4050	4640	4255	5179	4595
AL	2708303	São José da Laje	12845	13616	12541	14023	12664
AL	2708402	São José da Tapera	13296	15086	13616	16323	14995
AL	2708501	São Luís do Quitunde	16913	17526	16087	17947	16324
AL	2708600	São Miguel dos Campos	29403	30226	29407	32385	31034
AL	2708709	São Miguel dos Milagres	4103	5247	4547	5814	4819
AL	2708808	São Sebastião	17057	19459	17657	20475	18298
AL	2708907	Satuba	7531	8450	7710	8794	8219
AL	2708956	Senador Rui Palmeira	5975	6708	6132	7284	6460
AL	2709004	'Tanque d''Arca'	3481	4262	3681	4326	3840
AL	2709103	Taquarana	9719	10792	9744	11200	9949
AL	2709152	Teotônio Vilela	20453	21689	19878	22361	20769
AL	2709202	Traipu	12427	13554	12013	14207	12207
AL	2709301	União dos Palmares	31200	34571	31784	35547	33176
AL	2709400	Viçosa	15280	15663	14576	16260	14762
AM	1300029	Alvarães	5754	7456	6630	8128	7244
AM	1300060	Amaturá	3427	4127	4000	4711	4674
AM	1300086	Anamã	4279	5434	4884	5908	5559
AM	1300102	Anori	6311	7618	6798	8379	7268
AM	1300144	Apuí	6277	7239	6384	7598	6979
AM	1300201	Atalaia do Norte	3569	4899	4735	6041	5417
AM	1300300	Autazes	13641	17438	16639	21767	19872
AM	1300409	Barcelos	5398	6669	6065	7527	6571
AM	1300508	Barreirinha	11159	13069	12403	14900	13983
AM	1300607	Benjamin Constant	12474	14610	14467	15846	15732
AM	1300631	Beruri	6093	8486	7785	9683	8833
AM	1300680	Boa Vista do Ramos	6602	7936	6789	8709	7996
AM	1300706	Boca do Acre	12279	14597	13630	15872	14758
AM	1300805	Borba	12549	14743	13654	16345	14506
AM	1300839	Caapiranga	4505	5819	5327	6707	5899
AM	1300904	Canutama	4265	5612	4739	6724	5611
AM	1301001	Carauari	9617	12903	11205	13833	12041
AM	1301100	Careiro	13177	16578	15753	17850	16172
AM	1301159	Careiro da Várzea	10655	12464	11192	12905	12282
AM	1301209	Coari	29784	36970	32301	40271	35620
AM	1301308	Codajás	9190	11151	9740	11711	9879
AM	1301407	Eirunepé	11873	14254	12350	14701	13005
AM	1301506	Envira	6360	7408	6769	7984	6594
AM	1301605	Fonte Boa	8685	10767	9662	12104	10054
AM	1301654	Guajará	3722	6374	5316	6823	6402
AM	1301704	Humaitá	18003	20872	19804	22756	20124
AM	1301803	Ipixuna	4974	7124	6157	7940	7004
AM	1301852	Iranduba	19862	23264	19504	24839	26293
AM	1301902	Itacoatiara	42675	47549	48583	52779	51285
AM	1301951	Itamarati	3679	4720	4097	5279	4487
AM	1302009	Itapiranga	4595	5800	5215	6287	5459
AM	1302108	Japurá	2246	2992	2583	3651	2882
AM	1302207	Juruá	3506	4899	4236	5299	4433
AM	1302306	Jutaí	6066	8012	7231	9497	8050
AM	1302405	Lábrea	13249	15967	14468	17075	16574
AM	1302504	Manacapuru	44316	49518	46290	53605	52528
AM	1302553	Manaquiri	8038	10286	9014	11099	9804
AM	1302603	Manaus	968527	1006184	1062100	1149121	1153992
AM	1302702	Manicoré	16270	19590	18167	22061	19235
AM	1302801	Maraã	4533	6346	5514	7439	5617
AM	1302900	Maués	19718	22576	20581	23964	21961
AM	1303007	Nhamundá	8088	10094	8762	11056	9530
AM	1303106	Nova Olinda do Norte	9665	12015	11123	13607	12051
AM	1303205	Novo Airão	5251	7137	6544	8852	7605
AM	1303304	Novo Aripuanã	7187	8791	7633	9374	8245
AM	1303403	Parintins	43979	46916	47062	50678	51551
AM	1303502	Pauini	5643	6591	5872	7220	6537
AM	1303536	Presidente Figueiredo	12014	15852	14384	18173	17070
AM	1303569	Rio Preto da Eva	9411	12015	10500	12370	11777
AM	1303601	Santa Isabel do Rio Negro	3571	4617	4107	5137	4557
AM	1303700	Santo Antônio do Içá	7975	9703	8981	11290	10584
AM	1303809	São Gabriel da Cachoeira	15539	18762	18570	20371	18898
AM	1303908	São Paulo de Olivença	9829	12029	11780	13642	13576
AM	1303957	São Sebastião do Uatumã	3687	4675	4088	5411	4891
AM	1304005	Silves	4638	5468	5098	6141	5607
AM	1304062	Tabatinga	18842	21711	21447	24341	25422
AM	1304104	Tapauá	7046	9662	7826	9683	8580
AM	1304203	Tefé	23929	28145	27418	30836	30135
AM	1304237	Tonantins	5239	6862	6070	7623	6851
AM	1304260	Uarini	4259	5389	5209	6241	5378
AM	1304302	Urucará	6952	9166	8102	10006	8446
AM	1304401	Urucurituba	7302	9749	8480	10277	8908
AP	1600055	Serra do Navio	2561	3001	2762	2958	2902
AP	1600105	Amapá	4570	5006	4773	5265	4890
AP	1600154	Pedra Branca do Amaparí		6899	6536	6906	6707
AP	1600204	Calçoene	5212	5961	5758	6064	5799
AP	1600212	Cutias	2795	3169	3078	3722	3547
AP	1600238	Ferreira Gomes	3291	4763	4530	6089	5090
AP	1600253	Itaubal	3187	4020	3645	5018	4759
AP	1600279	Laranjal do Jari	20746	22161	22838	22408	22392
AP	1600303	Macapá	210816	214427	241924	232323	248623
AP	1600402	Mazagão	9972	11182	11263	12557	13185
AP	1600501	Oiapoque	10417	11716	12316	12797	13168
AP	1600535	Porto Grande	8523	9694	10057	10984	10635
AP	1600550	Pracuúba	2180	2809	2305	3126	2726
AP	1600600	Santana	56286	57994	62038	64694	67094
AP	1600709	Tartarugalzinho	5811	6589	6382	7479	7345
AP	1600808	Vitória do Jari	7246	7956	7641	8088	7758
BA	2900108	Abaíra	5183	5669	4998	5597	5085
BA	2900207	Abaré	9467	10467	9961	11338	10319
BA	2900306	Acajutiba	7884	9390	8080	9199	8244
BA	2900355	Adustina	8445	9371	8491	9674	8881
BA	2900405	Água Fria	8678	10005	8845	10037	8873
BA	2900504	Érico Cardoso	5770	7207	5657	6940	5527
BA	2900603	Aiquara	3043	3707	3043	3520	2916
BA	2900702	Alagoinhas	77861	83502	83726	85710	86021
BA	2900801	Alcobaça	11072	14237	12019	13295	11640
BA	2900900	Almadina	3659	4521	3576	4202	3379
BA	2901007	Amargosa	18021	20243	18901	20761	20028
BA	2901106	Amélia Rodrigues	13478	14979	14172	15718	14658
BA	2901155	América Dourada	8295	9481	8816	10489	9149
BA	2901205	Anagé	13058	14718	13304	14691	13629
BA	2901304	Andaraí	6944	8192	6753	7949	7318
BA	2901353	Andorinha	9132	10068	9249	10164	9450
BA	2901403	Angical	9130	10524	9267	10425	9730
BA	2901502	Anguera	6555	7930	6973	8222	6972
BA	2901601	Antas	7690	9180	7777	9348	8066
BA	2901700	Antônio Cardoso	8018	9187	8482	9426	9306
BA	2901809	Antônio Gonçalves	5608	6685	5844	7111	6198
BA	2901908	Aporá	8981	10602	9079	10238	9145
BA	2901957	Apuarema	4125	4559	3797	4715	4298
BA	2902005	Aracatu	8433	10497	9028	11001	9570
BA	2902054	Araças	7244	8652	7575	8361	7656
BA	2902104	Araci	25270	29298	26859	30777	27399
BA	2902203	Aramari	6271	7350	6657	7885	7094
BA	2902252	Arataca	4443	5422	4567	5010	4601
BA	2902302	Aratuípe	5654	6677	5747	6926	5850
BA	2902401	Aurelino Leal	6847	7936	6403	7989	7067
BA	2902500	Baianópolis	8141	9835	8604	10294	9016
BA	2902609	Baixa Grande	11017	12409	11200	12722	11022
BA	2902658	Banzaê	6730	7617	6939	8060	7775
BA	2902708	Barra	22727	25978	25183	28060	25936
BA	2902807	Barra da Estiva	12705	14766	14153	16647	15159
BA	2902906	Barra do Choça	17330	19816	18839	21509	20697
BA	2903003	Barra do Mendes	8017	8689	8028	9551	8813
BA	2903102	Barra do Rocha	3041	3809	2949	3497	2813
BA	2903201	Barreiras	63989	73071	70805	77536	77747
BA	2903235	Barro Alto	7038	8015	7243	8155	7600
BA	2903276	Barrocas	8880	10105	9679	11594	10725
BA	2903300	Governador Lomanto Júnior			4195		4281
BA	2903409	Belmonte	10341	11999	10585	12931	11078
BA	2903508	Belo Campo	9322	11741	9578	11763	10521
BA	2903607	Biritinga	8596	9593	8732	9920	10069
BA	2903706	Boa Nova	8154	9666	8148	9852	8177
